,title,genre,rating,runtime,age_rating,years
0,The Venture Bros.,"Animation, Action, Adventure",8.5,22 min,TV-MA,(2003–2018)
1,Scooby-Doo! Mystery Incorporated,"Animation, Adventure, Comedy",8.0,23 min,TV-Y7-FV,(2010–2013)
2,V,"Action, Adventure, Sci-Fi",7.4,60 min,TV-PG,(1984–1985)
3,The Big Valley,Western,7.6,60 min,TV-PG,(1965–1969)
4,Samurai Champloo,"Animation, Action, Adventure",8.5,24 min,TV-MA,(2004–2005)
5,Ned's Declassified School Survival Guide,"Comedy, Family",7.4,22 min,TV-G,(2004–2007)
6,The Larry Sanders Show,Comedy,8.4,30 min,TV-MA,(1992–1998)
7,Scooby-Doo and Guess Who?,"Animation, Comedy, Family",7.4,22 min,TV-PG,(2019– )
8,Big City Greens,"Animation, Short, Adventure",7.2,22 min,TV-Y7,(2018– )
9,Sonny with a Chance,"Comedy, Family, Romance",6.1,23 min,TV-G,(2009–2011)
10,Swedish Dicks,"Comedy, Crime",6.8,30 min,TV-MA,(2016–2018)
11,The Hardy Boys,"Adventure, Drama, Family",6.9,N/A,TV-PG,(2020– )
12,All That,"Comedy, Family, Music",7.5,30 min,TV-Y7,(1994–2019)
13,Blue's Clues,"Animation, Comedy, Family",6.9,25 min,TV-Y,(1996–2020)
14,I'm Dying Up Here,"Comedy, Drama",7.5,60 min,TV-MA,(2017–2018)
15,The Barrier,"Drama, Sci-Fi",6.8,50 min,TV-MA,(2020– )
16,Four Weddings and a Funeral,"Comedy, Romance",7.2,60 min,N/A,(2019)
17,Sanford and Son,Comedy,7.9,30 min,TV-PG,(1972–1977)
18,The Baby-Sitters Club,"Comedy, Drama, Family",7.4,N/A,TV-PG,(2020– )
19,Fate/Zero,"Animation, Action, Drama",8.3,24 min,TV-MA,(2011–2012)
20,Mr Selfridge,Drama,7.7,45 min,TV-14,(2013–2016)
21,The Young Riders,"Romance, Western",7.9,60 min,TV-PG,(1989–1992)
22,Aquarius,"Biography, Crime, Drama",7.1,42 min,TV-14,(2015–2016)
23,The Flintstones,"Animation, Adventure, Comedy",7.5,26 min,TV-G,(1960–1966)
24,Highway to Heaven,"Drama, Fantasy",6.8,60 min,Not Rated,(1984–1989)
25,The Staircase,"Documentary, Crime, Drama",7.9,629 min,TV-MA,(2004–2018)
26,Living Single,Comedy,7.5,30 min,TV-PG,(1993–1998)
27,Mr. Iglesias,Comedy,7.1,30 min,TV-14,(2019– )
28,Kim Possible,"Animation, Action, Adventure",7.2,30 min,TV-G,(2002–2007)
29,Metástasis,"Crime, Drama, Thriller",2.4,60 min,TV-MA,(2014)
30,Match Game,"Comedy, Game-Show",8.3,30 min,TV-PG,(1973–1990)
31,Reaper,"Adventure, Comedy, Drama",7.7,45 min,TV-14,(2007–2009)
32,Arthdal Chronicles,"Action, Drama, Fantasy",8.4,80 min,N/A,(2019– )
33,Hand of God,"Crime, Drama",7.5,60 min,TV-MA,(2014–2017)
34,The Lost World,"Action, Adventure, Sci-Fi",7.2,60 min,TV-PG,(1999–2002)
35,Jett,"Crime, Drama, Thriller",7.4,N/A,TV-MA,(2019– )
36,Star vs. the Forces of Evil,"Animation, Action, Adventure",8.0,22 min,TV-Y7,(2015–2019)
