,title,genre,rating,runtime,age_rating,years
0,True Blood,"Drama, Fantasy, Mystery",7.8,55 min,TV-MA,(2008–2014)
1,Star Wars: The Clone Wars,"Animation, Action, Adventure",8.3,23 min,TV-PG,(2008–2020)
2,South Park,"Animation, Comedy",8.7,22 min,TV-MA,(1997– )
3,Servant,"Drama, Horror, Mystery",7.5,30 min,TV-MA,(2019– )
4,Twin Peaks,"Crime, Drama, Mystery",8.8,47 min,TV-MA,(1990–1991)
5,Mindhunter,"Crime, Drama, Thriller",8.6,60 min,TV-MA,(2017–2019)
6,Mom,"Comedy, Drama, Romance",7.2,30 min,TV-14,(2013–2021)
7,The Originals,"Drama, Fantasy, Horror",8.2,45 min,TV-14,(2013–2018)
8,Creepshow,"Fantasy, Horror, Mystery",7.1,44 min,TV-MA,(2019– )
9,The Morning Show,Drama,8.4,60 min,TV-MA,(I) (2019– )
10,Spartacus,"Action, Adventure, Biography",8.5,55 min,TV-MA,(2010–2013)
11,S.W.A.T.,"Action, Adventure, Crime",7.0,43 min,TV-14,(2017– )
12,Baywatch,"Action, Adventure, Crime",5.3,60 min,TV-PG,(1989–2001)
13,BoJack Horseman,"Animation, Comedy, Drama",8.7,25 min,TV-MA,(2014–2020)
14,The Good Place,"Comedy, Drama, Fantasy",8.2,22 min,TV-PG,(2016–2020)
15,Magnum P.I.,"Action, Adventure, Crime",5.8,43 min,TV-14,(2018– )
16,Pennyworth,"Action, Crime, Drama",8.0,60 min,TV-MA,(2019– )
17,Smallville,"Adventure, Drama, Romance",7.5,60 min,TV-PG,(2001–2011)
18,Batwoman,"Action, Adventure, Crime",3.4,45 min,TV-14,(2019– )
19,FBI,"Action, Crime, Drama",6.8,60 min,TV-14,(2018– )
20,Killing Eve,"Action, Adventure, Drama",8.3,42 min,TV-14,(2018–2022)
21,The Conners,Comedy,5.3,30 min,TV-PG,(2018– )
22,Demon Slayer: Kimetsu No Yaiba,"Animation, Action, Fantasy",8.7,25 min,TV-MA,(2019– )
23,Glee,"Comedy, Drama, Music",6.7,44 min,TV-PG,(2009–2015)
24,DC's Legends of Tomorrow,"Action, Adventure, Drama",6.8,42 min,TV-14,(2016– )
25,Harley Quinn,"Animation, Action, Adventure",8.5,23 min,TV-MA,(2019– )
26,Justified,"Action, Crime, Drama",8.6,44 min,TV-MA,(2010–2015)
27,Big Little Lies,"Crime, Drama, Mystery",8.5,60 min,TV-MA,(2017–2019)
28,ZeroZeroZero,"Crime, Drama, Thriller",8.2,60 min,TV-MA,(2019– )
29,The Marvelous Mrs. Maisel,"Comedy, Drama",8.7,57 min,TV-MA,(2017– )
30,Psych,"Comedy, Crime, Mystery",8.3,44 min,TV-PG,(2006–2014)
31,Wynonna Earp,"Action, Drama, Fantasy",7.4,43 min,TV-14,(2016–2021)
32,Dawson's Creek,"Drama, Romance",6.6,60 min,TV-14,(1998–2003)
33,When Calls the Heart,"Drama, Romance",8.1,43 min,TV-G,(2014– )
34,Letterkenny,Comedy,8.7,30 min,TV-MA,(2016– )
35,The Moodys,Comedy,6.8,30 min,TV-14,(2019–2021)
36,One Tree Hill,"Drama, Romance, Sport",7.7,60 min,TV-14,(2003–2012)
37,Star Trek: Voyager,"Action, Adventure, Sci-Fi",7.8,44 min,TV-PG,(1995–2001)
38,His Dark Materials,"Adventure, Drama, Family",7.9,60 min,TV-14,(2019– )
39,The Americans,"Crime, Drama, Mystery",8.4,44 min,TV-MA,(2013–2018)
40,Warrior,"Action, Crime, Drama",8.4,60 min,TV-MA,(2019– )
41,Broadchurch,"Crime, Drama, Mystery",8.4,48 min,TV-MA,(2013–2017)
42,Frasier,Comedy,8.1,22 min,TV-PG,(1993–2004)
43,Fringe,"Drama, Mystery, Sci-Fi",8.4,46 min,TV-14,(2008–2013)
44,Hannibal,"Crime, Drama, Horror",8.5,44 min,TV-MA,(2013–2015)
45,Murdoch Mysteries,"Crime, Drama, Mystery",8.1,48 min,TV-PG,(2008– )
46,House of Cards,Drama,8.7,51 min,TV-MA,(2013–2018)
47,Animal Kingdom,"Crime, Drama",8.2,60 min,TV-MA,(2016– )
48,Columbo,"Crime, Drama, Mystery",8.2,100 min,TV-PG,(1971–2003)
49,Avatar: The Last Airbender,"Animation, Action, Adventure",9.2,23 min,TV-Y7-FV,(2005–2008)
