,title,genre,rating,runtime,age_rating,years
0,Happy!,"Action, Comedy, Crime",8.2,60 min,TV-MA,(2017–2019)
1,Tales from the Loop,"Drama, Sci-Fi",7.5,50 min,TV-MA,(2020– )
2,Utopia,"Drama, Mystery, Sci-Fi",8.4,50 min,TV-MA,(I) (2013–2014)
3,Xena: Warrior Princess,"Action, Adventure, Drama",6.7,45 min,TV-PG,(1995–2001)
4,Pokémon,"Animation, Action, Adventure",7.5,24 min,TV-Y7,(1997– )
5,Z Nation,"Action, Comedy, Drama",6.7,44 min,TV-14,(2014–2018)
6,Home and Away,"Drama, Romance",5.1,22 min,TV-14,(1988– )
7,Dinosaurs,"Comedy, Family, Fantasy",7.5,30 min,TV-PG,(1991–1994)
8,Steins;Gate,"Animation, Comedy, Drama",8.8,24 min,TV-14,(2011–2015)
9,What I Like About You,Comedy,6.6,30 min,TV-PG,(2002–2006)
10,In the Heat of the Night,"Crime, Drama, Mystery",7.5,60 min,TV-14,(1988–1995)
11,Just Shoot Me!,Comedy,6.8,30 min,TV-PG,(1997–2003)
12,Fortitude,"Drama, Horror, Mystery",7.4,60 min,TV-MA,(2015–2018)
13,Masters of Sex,"Drama, Romance",7.9,60 min,TV-MA,(2013–2016)
14,CHiPs,"Crime, Drama, Mystery",6.4,60 min,TV-PG,(1977–1983)
15,For Life,"Biography, Crime, Drama",7.6,43 min,TV-14,(2020– )
16,CSI: NY,"Action, Crime, Drama",6.9,43 min,TV-14,(2004–2013)
17,Jessie,"Comedy, Family",5.9,30 min,TV-G,(2011–2015)
18,Justice League,"Animation, Action, Adventure",8.5,22 min,TV-PG,(2001–2004)
19,Sleepy Hollow,"Action, Adventure, Crime",7.4,45 min,TV-14,(2013–2017)
20,L.A.'s Finest,"Action, Comedy, Crime",5.9,60 min,TV-14,(2019–2020)
21,Everwood,Drama,7.4,60 min,TV-PG,(2002–2006)
22,Wonder Woman,"Action, Adventure, Drama",7.1,60 min,TV-G,(1975–1979)
23,Barney Miller,"Comedy, Drama",8.2,30 min,TV-PG,(1975–1982)
24,My So-Called Life,"Comedy, Drama, Romance",8.3,60 min,TV-14,(1994–1995)
25,Tidelands,"Crime, Drama, Fantasy",7.0,60 min,TV-MA,(2018)
26,Lost Girl,"Action, Drama, Fantasy",7.7,44 min,TV-MA,(2010–2016)
27,The Shannara Chronicles,"Adventure, Fantasy, Sci-Fi",7.2,42 min,TV-14,(2016–2017)
28,Insatiable,"Comedy, Drama, Thriller",6.5,45 min,TV-MA,(2018–2019)
29,High Fidelity,"Comedy, Drama, Romance",7.7,N/A,TV-MA,(2020)
30,Ghosts,"Comedy, Fantasy",8.1,30 min,TV-14,(2019– )
31,PEN15,Comedy,8.0,30 min,TV-MA,(2019– )
32,Farscape,"Action, Adventure, Drama",8.2,50 min,TV-14,(1999–2003)
33,The Brady Bunch,"Comedy, Family",6.7,30 min,TV-PG,(1969–1974)
