,title,genre,rating,runtime,age_rating,years
0,Baki,"Animation, Action, Sport",6.7,45 min,TV-MA,(2018– )
1,Nightflyers,"Drama, Horror, Mystery",5.9,60 min,TV-14,(2018)
2,Below Deck Sailing Yacht,Reality-TV,6.5,43 min,TV-14,(2020– )
3,SMILF,"Comedy, Drama",6.7,30 min,TV-MA,(2017–2019)
4,The Voice,"Game-Show, Music, Reality-TV",6.5,60 min,TV-PG,(2011– )
5,One Foot in the Grave,"Comedy, Drama",7.8,90 min,TV-PG,(1990–2001)
6,Outcast,"Drama, Horror",7.4,60 min,TV-MA,(2016–2017)
7,How NOT to Summon a Demon Lord,"Animation, Adventure, Comedy",7.1,24 min,TV-MA,(2018– )
8,"Doogie Howser, M.D.","Comedy, Drama, Family",6.5,30 min,TV-PG,(1989–1993)
9,The Secret Circle,"Drama, Fantasy, Horror",7.3,45 min,TV-14,(2011–2012)
10,Maverick,"Comedy, Western",8.0,60 min,TV-G,(1957–1962)
11,Martin,"Comedy, Drama, Romance",7.4,30 min,TV-PG,(1992–1997)
12,Storage Wars,Reality-TV,6.3,22 min,TV-14,(2010– )
13,CSI: Cyber,"Crime, Drama, Mystery",5.5,44 min,TV-14,(2015–2016)
14,The House of Flowers,"Comedy, Drama",7.7,60 min,TV-MA,(2018–2020)
15,Life,"Crime, Drama, Mystery",8.3,45 min,TV-14,(I) (2007–2009)
16,Tyrant,"Action, Drama, Thriller",7.8,60 min,TV-14,(2014–2016)
17,Looking,"Comedy, Drama, Romance",8.2,30 min,TV-MA,(2014–2015)
18,Renegade,"Action, Adventure, Crime",6.0,43 min,TV-14,(1992–1997)
19,Room 104,"Comedy, Drama, Fantasy",6.1,30 min,TV-MA,(2017–2020)
20,Jack Irish,"Crime, Drama",7.8,52 min,Not Rated,(2016–2021)
21,Sofia the First,"Animation, Adventure, Family",6.9,22 min,TV-Y,(2012–2018)
22,The Bonfire of Destiny,"Drama, History",7.7,48 min,TV-MA,(2019)
23,Something in the Rain,"Drama, Romance",8.1,75 min,N/A,(2018)
24,Mistresses,"Drama, Romance, Thriller",7.1,43 min,TV-14,(I) (2013–2016)
25,Indian Summers,Drama,7.3,52 min,TV-14,(2015–2016)
26,Once Upon a Time in Wonderland,"Adventure, Drama, Fantasy",7.0,42 min,TV-PG,(2013–2014)
27,Con Man,Comedy,7.8,12 min,TV-14,(2015–2017)
28,Wet Hot American Summer: First Day of Camp,Comedy,7.4,30 min,TV-MA,(2015)
29,Maude,Comedy,7.1,30 min,TV-PG,(1972–1978)
30,White Gold,Comedy,7.4,30 min,TV-MA,(2017–2019)
31,Derek,"Comedy, Drama",8.0,23 min,TV-MA,(2012–2014)
32,Motherland,Comedy,7.6,30 min,TV-MA,(2016– )
33,Free Rein,"Action, Adventure, Comedy",7.4,26 min,TV-G,(2017–2019)
