,title,genre,rating,runtime,age_rating,years
0,My Name Is Earl,Comedy,7.7,22 min,TV-PG,(2005–2009)
1,Oz,"Crime, Drama, Thriller",8.7,55 min,TV-MA,(1997–2003)
2,Keeping Up with the Kardashians,"Drama, Family, Reality-TV",2.8,44 min,TV-14,(2006– )
3,The Ranch,"Comedy, Drama, Western",7.5,30 min,TV-MA,(2016–2020)
4,"Beverly Hills, 90210","Drama, Romance",6.4,44 min,TV-PG,(1990–2000)
5,Scorpion,"Action, Crime, Drama",7.1,43 min,TV-14,(2014–2018)
6,SpongeBob SquarePants,"Animation, Comedy, Family",8.2,23 min,TV-Y,(1999– )
7,Parenthood,"Comedy, Drama",8.2,60 min,TV-PG,(2010–2015)
8,All American,"Drama, Sport",7.7,45 min,TV-14,(2018– )
9,Bull,"Comedy, Crime, Drama",7.0,60 min,TV-14,(2016– )
10,Coroner,"Crime, Drama, Mystery",6.8,60 min,TV-MA,(2019– )
11,Elementary,"Crime, Drama, Mystery",7.9,60 min,TV-14,(2012–2019)
12,Star Wars Rebels,"Animation, Action, Adventure",8.0,22 min,TV-Y7-FV,(2014–2018)
13,Taboo,"Drama, Mystery, Thriller",8.4,59 min,TV-MA,(2017– )
14,Roseanne,"Comedy, Drama",7.0,21 min,TV-PG,(1988–2018)
15,Carnival Row,"Crime, Drama, Fantasy",7.9,56 min,TV-MA,(2019– )
16,The Bay,"Crime, Drama, Mystery",7.0,45 min,TV-14,(2019– )
17,Gomorrah,"Crime, Drama, Thriller",8.7,55 min,TV-MA,(2014– )
18,That '70s Show,"Comedy, Romance",8.1,22 min,TV-14,(1998–2006)
19,Private Practice,"Comedy, Drama, Romance",6.7,60 min,TV-14,(2007–2013)
20,Chilling Adventures of Sabrina,"Drama, Fantasy, Horror",7.5,60 min,TV-14,(2018–2020)
21,Formula 1: Drive to Survive,"Documentary, Sport",8.7,40 min,TV-MA,(2019– )
22,30 Rock,Comedy,8.2,22 min,TV-14,(2006–2013)
23,Blindspot,"Action, Crime, Drama",7.4,42 min,TV-14,(2015–2020)
24,Bates Motel,"Drama, Horror, Mystery",8.1,45 min,TV-MA,(2013–2017)
25,Victoria,"Biography, Drama, History",8.2,60 min,TV-PG,(2016– )
26,Atypical,"Comedy, Drama",8.3,30 min,TV-MA,(2017–2021)
27,American Housewife,Comedy,7.4,30 min,TV-PG,(2016– )
28,Veronica Mars,"Crime, Drama, Mystery",8.3,44 min,TV-14,(2004–2019)
29,The Fresh Prince of Bel-Air,Comedy,7.9,22 min,TV-PG,(1990–1996)
30,The Good Wife,"Crime, Drama, Mystery",8.3,43 min,TV-14,(2009–2016)
31,The Twilight Zone,"Drama, Fantasy, Horror",9.0,51 min,TV-PG,(1959–1964)
32,Upload,"Comedy, Mystery, Sci-Fi",8.0,296 min,TV-MA,(2020– )
33,RuPaul's Drag Race,"Game-Show, Reality-TV",8.5,63 min,TV-14,(2009– )
34,Godfather of Harlem,"Crime, Drama",8.0,55 min,TV-MA,(2019– )
35,Travelers,"Drama, Mystery, Sci-Fi",8.1,45 min,TV-MA,(2016–2018)
36,Merlin,"Adventure, Drama, Fantasy",7.9,45 min,TV-PG,(2008–2012)
37,Girls,"Comedy, Drama",7.3,28 min,TV-MA,(2012–2017)
38,Naruto,"Animation, Action, Adventure",8.3,24 min,TV-Y7-FV,(2002–2007)
39,Dynasty,Drama,7.3,42 min,TV-14,(2017– )
40,Marcella,"Crime, Drama, Mystery",7.4,45 min,TV-MA,(2016– )
41,The Legend of Korra,"Animation, Action, Adventure",8.4,23 min,TV-Y7-FV,(2012–2014)
42,Black-ish,Comedy,7.1,22 min,TV-PG,(2014– )
43,Happy Endings,"Comedy, Romance",7.7,22 min,TV-14,(2011–2020)
44,Everybody Loves Raymond,Comedy,7.1,22 min,TV-PG,(1996–2005)
45,Bodyguard,"Crime, Drama, Thriller",8.1,60 min,TV-MA,(2018)
46,The Shield,"Crime, Drama, Thriller",8.7,47 min,TV-MA,(2002–2008)
