,title,genre,rating,runtime,age_rating,years
0,Ramy,"Comedy, Drama, Romance",8.1,30 min,TV-MA,(2019– )
1,Medium,"Crime, Drama, Fantasy",6.9,60 min,TV-14,(2005–2011)
2,Next,"Crime, Drama, Sci-Fi",6.7,N/A,TV-14,(2020)
3,A.P. Bio,Comedy,7.3,21 min,TV-14,(2018– )
4,Hell's Kitchen,"Game-Show, Reality-TV",7.1,42 min,TV-14,(2005– )
5,Scream: The TV Series,"Comedy, Crime, Drama",7.2,45 min,TV-14,(2015–2019)
6,The Head,"Drama, Mystery, Thriller",6.9,N/A,TV-MA,(2020– )
7,Mission: Impossible,"Action, Adventure, Crime",7.9,50 min,TV-PG,(1966–1973)
8,A Touch of Frost,"Crime, Drama, Mystery",7.8,105 min,TV-MA,(1992–2010)
9,The Bridge,"Crime, Drama, Mystery",7.6,43 min,TV-MA,(I) (2013–2014)
10,Fairy Tail,"Animation, Action, Adventure",8.0,24 min,TV-14,(2009–2019)
11,Man with a Plan,Comedy,7.1,30 min,TV-PG,(2016–2020)
12,The Protector,"Action, Fantasy, Sci-Fi",6.7,40 min,TV-MA,(2018–2020)
13,The Bold and the Beautiful,"Drama, Romance",3.4,30 min,TV-14,(1987– )
14,Flack,"Comedy, Drama",7.1,60 min,TV-14,(2019– )
15,Hot in Cleveland,Comedy,7.3,30 min,TV-PG,(2010–2015)
16,Covert Affairs,"Action, Crime, Drama",7.3,60 min,TV-PG,(2010–2014)
17,All Rise,Drama,6.7,44 min,TV-PG,(2019– )
18,The Mary Tyler Moore Show,Comedy,8.1,30 min,TV-PG,(1970–1977)
19,F Is for Family,"Animation, Comedy, Drama",8.0,30 min,TV-MA,(2015– )
20,She-Ra and the Princesses of Power,"Animation, Action, Adventure",7.9,30 min,TV-Y7-FV,(2018–2020)
21,Dynasty,"Drama, Romance",6.3,60 min,TV-PG,(1981–1989)
22,Party of Five,"Drama, Family",6.8,60 min,TV-PG,(1994–2000)
23,Inside No. 9,"Comedy, Drama, Horror",8.5,30 min,TV-MA,(2014– )
24,A Different World,Comedy,6.9,60 min,TV-PG,(1987–1993)
25,No Offence,"Comedy, Crime, Drama",8.0,42 min,TV-MA,(I) (2015–2018)
26,Wallander,"Crime, Drama, Mystery",7.9,90 min,TV-PG,(2008–2016)
27,Dark Matter,"Adventure, Drama, Mystery",7.5,42 min,TV-14,(2015–2017)
28,Motherland: Fort Salem,"Drama, Fantasy, Sci-Fi",7.1,N/A,TV-14,(2020– )
29,Big Love,Drama,7.6,60 min,TV-MA,(2006–2011)
30,Undercover,"Crime, Drama, Thriller",7.8,50 min,TV-MA,(2019– )
31,La Reina del Sur,"Action, Crime, Drama",8.0,378 min,TV-14,(2011–2019)
32,Girl Meets World,"Comedy, Drama, Family",7.2,23 min,TV-G,(2014–2017)
33,Intelligence,Comedy,6.1,N/A,TV-MA,(2020– )
34,Pushing Daisies,"Comedy, Drama, Fantasy",8.3,44 min,TV-PG,(2007–2009)
35,Hemlock Grove,"Drama, Horror, Mystery",7.1,46 min,TV-MA,(2013–2015)
36,Undone,"Animation, Drama, Fantasy",8.2,23 min,TV-MA,(2019– )
37,Baby Daddy,"Comedy, Drama, Family",7.4,22 min,TV-14,(2012–2017)
38,Hawaii Five-O,"Crime, Drama, Mystery",7.3,60 min,TV-PG,(1968–1980)
39,"Dr. Quinn, Medicine Woman","Drama, Family, Western",6.7,60 min,TV-Y7,(1993–1998)
40,F Troop,"Comedy, Western",7.3,30 min,TV-PG,(1965–1967)
41,Raising Dion,"Drama, Sci-Fi",7.2,50 min,TV-G,(2019– )
42,Suburra: Blood on Rome,"Action, Crime",7.9,50 min,TV-MA,(2017–2020)
43,The Librarians,"Action, Adventure, Comedy",7.3,42 min,TV-14,(2013–2018)
44,Crashing,Comedy,7.7,30 min,TV-MA,(2016)
45,Body of Proof,"Comedy, Crime, Drama",7.1,60 min,TV-14,(2011–2013)
46,The Little Drummer Girl,"Drama, Thriller",7.4,55 min,TV-MA,(2018)
47,Away,"Drama, Romance, Sci-Fi",6.6,498 min,TV-14,(2020)
48,Giri/Haji,"Crime, Drama, Mystery",7.9,461 min,TV-MA,(2019)
49,Zoey 101,"Comedy, Drama, Family",6.1,30 min,TV-Y7,(2005–2008)
50,The Purge,"Action, Drama, Horror",6.5,42 min,TV-MA,(2018–2019)
51,The Dragon Prince,"Animation, Adventure, Drama",8.4,26 min,TV-Y7,(2018– )
52,Avenue 5,"Comedy, Sci-Fi",6.5,N/A,TV-MA,(2020– )
53,Who's the Boss?,"Comedy, Family, Romance",6.6,30 min,TV-G,(1984–1992)
54,According to Jim,"Comedy, Romance",6.4,30 min,TV-PG,(2001–2009)
55,Get Shorty,"Comedy, Crime",8.2,60 min,TV-MA,(2017–2019)
56,Queer as Folk,"Drama, Romance",8.3,47 min,TV-MA,(2000–2005)
57,Zoo,"Drama, Mystery, Sci-Fi",6.8,42 min,TV-14,(2015–2017)
58,Roman Empire,"Documentary, Biography, Drama",7.0,48 min,TV-MA,(2016– )
59,A Place to Call Home,Drama,8.3,60 min,Not Rated,(2013–2018)
60,Holby City,Drama,5.8,60 min,TV-PG,(1999– )
61,Party Down,"Comedy, Drama",8.2,30 min,TV-14,(2009–2010)
62,Glitch,"Drama, Sci-Fi",7.3,45 min,TV-MA,(2015–2019)
63,The Mallorca Files,"Crime, Drama",6.6,45 min,TV-PG,(2019– )
64,Rescue Me,"Comedy, Drama",8.3,42 min,TV-MA,(2004–2011)
65,Sliders,"Adventure, Fantasy, Sci-Fi",7.4,60 min,TV-PG,(1995–2000)
66,Roswell,"Drama, Mystery, Sci-Fi",7.5,42 min,TV-14,(1999–2002)
67,Treadstone,Action,7.0,44 min,TV-MA,(2019)
68,The Letter for the King,"Action, Adventure, Family",5.9,N/A,TV-PG,(2020– )
69,The 4400,"Drama, Mystery, Sci-Fi",7.3,43 min,TV-14,(2004–2007)
70,"Signed, Sealed, Delivered","Comedy, Drama, Mystery",7.6,43 min,TV-G,(2014)
71,I Dream of Jeannie,"Comedy, Family, Fantasy",7.4,30 min,TV-G,(1965–1970)
72,The Rockford Files,"Crime, Drama, Mystery",8.1,50 min,TV-PG,(1974–1980)
73,The Dark Crystal: Age of Resistance,"Adventure, Drama, Family",8.4,60 min,TV-PG,(2019)
74,Awkward.,"Comedy, Drama, Romance",7.5,22 min,TV-14,(2011–2016)
75,Forever,"Crime, Drama, Fantasy",8.3,43 min,TV-PG,(2014–2015)
76,Frankie Drake Mysteries,"Crime, Drama, Mystery",6.8,60 min,TV-PG,(2017–2021)
77,Six,"Action, Drama, History",7.3,60 min,TV-MA,(2017–2018)
78,Bad Blood,"Crime, Drama",7.5,47 min,TV-MA,(2017– )
79,Wipeout,Game-Show,4.6,N/A,N/A,(2021– )
80,Gossip Girl,"Drama, Romance",N/A,60 min,N/A,(2021– )
81,Inspector George Gently,"Crime, Drama, Mystery",8.0,89 min,TV-MA,(2007–2017)
82,Too Hot to Handle,"Game-Show, Reality-TV, Romance",4.5,40 min,TV-MA,(2020– )
83,St. Elsewhere,"Comedy, Drama",7.9,60 min,TV-PG,(1982–1988)
84,Wayward Pines,"Drama, Mystery, Sci-Fi",7.4,60 min,TV-14,(2015–2016)
85,Transparent,"Comedy, Drama",7.8,30 min,TV-MA,(2014–2019)
86,The Amazing World of Gumball,"Animation, Adventure, Comedy",8.2,11 min,TV-Y7-FV,(2011–2019)
87,Informer,"Crime, Drama, Thriller",7.9,60 min,Not Rated,(2018)
88,Assassination Classroom,"Animation, Action, Comedy",8.0,23 min,TV-14,(2013–2016)
89,Miranda,Comedy,8.2,30 min,TV-MA,(2009–2015)
90,Step by Step,"Comedy, Family, Romance",6.5,30 min,TV-G,(1991–1998)
91,Rookie Blue,"Crime, Drama",7.7,42 min,TV-14,(2010–2015)
92,El Chapo,"Crime, Drama",7.8,43 min,TV-MA,(2017– )
93,Coach,"Comedy, Sport",7.0,30 min,TV-PG,(1989–1997)
94,Agatha Raisin,"Comedy, Drama, Mystery",7.3,60 min,Not Rated,(2014– )
95,3%,"Action, Drama, Sci-Fi",7.4,49 min,TV-MA,(2016–2020)
96,"Sister, Sister","Comedy, Drama, Family",6.2,30 min,TV-G,(1994–1999)
97,Jericho,"Action, Drama, Mystery",7.9,45 min,TV-14,(2006–2008)
98,Mixed-ish,Comedy,6.3,22 min,TV-PG,(2019– )
99,The Exorcist,"Drama, Horror, Mystery",8.0,45 min,TV-14,(2016–2018)
100,Designing Women,Comedy,7.1,30 min,TV-PG,(1986–1993)
101,Those Who Kill,"Action, Crime, Drama",7.2,60 min,TV-14,(2014)
102,The Incredible Hulk,"Action, Adventure, Drama",7.0,60 min,TV-PG,(1977–1982)
103,Kaguya-sama: Love is War,"Animation, Comedy, Romance",8.4,24 min,TV-14,(2019– )
104,Secret City,"Mystery, Thriller",7.4,49 min,TV-MA,(2016–2019)
105,Nathan for You,"Documentary, Comedy",8.9,30 min,TV-14,(2013–2017)
106,Life on Mars,"Crime, Drama, Mystery",8.3,60 min,TV-14,(2006–2007)
107,Jonathan Creek,"Comedy, Crime, Drama",8.1,60 min,TV-MA,(1997–2016)
108,Greenhouse Academy,Drama,6.9,25 min,TV-PG,(2017–2020)
109,All My Children,"Drama, Romance, Mystery",6.7,60 min,TV-PG,(1970–2011)
110,Robin Hood,"Action, Fantasy, Drama",8.5,60 min,TV-PG,(1984–1986)
111,The Addams Family,"Comedy, Family, Horror",8.0,30 min,TV-G,(1964–1966)
112,Still Game,Comedy,8.8,30 min,TV-14,(2002–2019)
113,PAW Patrol,"Animation, Action, Adventure",6.2,23 min,TV-Y,(2013– )
114,Into the Night,"Drama, Sci-Fi, Thriller",7.1,N/A,TV-MA,(II) (2020– )
115,Caliphate,"Crime, Drama, Thriller",8.2,46 min,TV-MA,(2020– )
116,Blue Mountain State,"Comedy, Sport",8.3,22 min,TV-MA,(2010–2011)
117,In Treatment,Drama,8.3,25 min,TV-MA,(2008–2021)
118,Hercules: The Legendary Journeys,"Action, Adventure, Drama",6.5,44 min,TV-G,(1995–1999)
119,Raven's Home,"Comedy, Family",7.4,22 min,TV-G,(2017–2021)
120,George Lopez,"Comedy, Drama",6.7,30 min,TV-PG,(2002–2007)
121,Monarca,Drama,8.0,43 min,TV-MA,(2019– )
122,The Chi,Drama,7.5,60 min,TV-MA,(2018– )
123,Reprisal,"Crime, Drama, Thriller",7.5,51 min,TV-MA,(2019)
124,McMafia,"Crime, Drama, Thriller",7.7,60 min,TV-14,(2018– )
125,Red Oaks,"Comedy, Drama, Sport",7.9,30 min,TV-MA,(2014–2017)
126,Velvet,"Adventure, Drama, Romance",8.1,43 min,TV-14,(2013–2016)
127,The Carrie Diaries,"Comedy, Romance",7.0,42 min,TV-14,(2013–2014)
128,Tales of the Unexpected,"Comedy, Drama, Horror",7.7,25 min,N/A,(1979–1988)
129,Wizards of Waverly Place,"Adventure, Comedy, Drama",6.9,22 min,TV-G,(2007–2012)
130,Lilyhammer,"Comedy, Crime, Drama",8.0,45 min,TV-MA,(2012–2014)
131,Channel Zero,"Crime, Drama, Fantasy",7.2,44 min,TV-14,(2016–2018)
132,Tales from the Crypt,"Comedy, Crime, Fantasy",8.0,25 min,TV-MA,(1989–1996)
133,All in the Family,"Comedy, Drama",8.3,30 min,TV-PG,(1971–1979)
134,Beastars,"Animation, Crime, Drama",7.8,23 min,TV-MA,(2019– )
135,The Grinder,Comedy,7.1,21 min,TV-PG,(2015–2016)
136,Adam-12,"Comedy, Crime, Drama",7.6,30 min,TV-PG,(1968–1975)
137,90 Day Fiancé,"Reality-TV, Romance",6.4,85 min,TV-14,(2014– )
138,Alfred Hitchcock Presents,"Comedy, Crime, Drama",8.5,25 min,TV-14,(1955–1962)
139,Black Money Love,"Action, Crime, Drama",7.3,90 min,TV-MA,(2014–2015)
140,Lovesick,Comedy,8.1,24 min,TV-MA,(2014–2018)
141,Everybody Hates Chris,"Comedy, Drama, Music",7.4,22 min,TV-PG,(2005–2009)
142,Das Boot,"Drama, War",7.4,60 min,TV-MA,(2018– )
143,Sacred Games,"Action, Crime, Drama",8.6,50 min,TV-MA,(2018–2019)
144,The Tick,"Action, Adventure, Comedy",7.4,29 min,TV-MA,(2016–2019)
145,Bulletproof,"Action, Crime, Drama",6.6,60 min,TV-14,(2018– )
146,Wu-Tang: An American Saga,"Biography, Drama",8.3,49 min,TV-MA,(2019– )
