,title,genre,rating,runtime,age_rating,years
0,Inspector Morse,"Crime, Drama, Mystery",8.1,100 min,TV-14,(1987–2000)
1,Saved by the Bell,"Comedy, Family, Romance",7.0,30 min,TV-PG,(1989–1992)
2,Home Improvement,"Comedy, Family",7.2,22 min,TV-PG,(1991–1999)
3,Blossom,"Comedy, Drama, Family",6.0,30 min,TV-PG,(1990–1995)
4,Shooter,"Action, Drama",7.5,60 min,TV-14,(2016–2018)
5,Miami Vice,"Action, Crime, Drama",7.5,48 min,TV-14,(1984–1989)
6,Perry Mason,"Crime, Drama",7.6,60 min,TV-MA,(2020– )
7,Disenchantment,"Animation, Action, Adventure",7.2,30 min,TV-14,(2018– )
8,The Curse of Oak Island,"Documentary, Reality-TV",7.1,60 min,TV-PG,(2014– )
9,iZombie,"Comedy, Crime, Drama",7.8,42 min,TV-14,(2015–2019)
10,The Kominsky Method,"Comedy, Drama",8.2,30 min,TV-MA,(2018–2021)
11,A Series of Unfortunate Events,"Adventure, Comedy, Drama",7.8,50 min,TV-PG,(2017–2019)
12,Weeds,"Comedy, Crime, Drama",7.9,28 min,TV-MA,(2005–2012)
13,The A-Team,"Action, Adventure, Crime",7.5,60 min,TV-PG,(1983–1987)
14,Foyle's War,"Crime, Drama, Mystery",8.4,90 min,TV-14,(2002–2015)
15,Hinterland,"Crime, Drama, Mystery",7.6,90 min,TV-14,(2013–2016)
16,High School DxD,"Animation, Action, Comedy",7.6,23 min,TV-MA,(2012–2018)
17,Krypton,"Action, Adventure, Drama",6.9,45 min,TV-14,(2018–2019)
18,Sword Art Online,"Animation, Action, Adventure",7.6,24 min,TV-14,(2012– )
19,That Time I Got Reincarnated as a Slime,"Animation, Action, Adventure",8.0,25 min,TV-PG,(2018– )
20,Cowboy Bebop,"Animation, Action, Adventure",8.9,24 min,TV-14,(1998–1999)
21,Madam Secretary,Drama,7.6,45 min,TV-PG,(2014–2019)
22,Vinland Saga,"Animation, Action, Adventure",8.8,24 min,TV-MA,(2019)
23,Julie and the Phantoms,"Comedy, Family, Fantasy",8.4,N/A,TV-G,(2020– )
24,Tokyo Ghoul,"Animation, Action, Drama",7.8,24 min,TV-MA,(2014)
25,Evil,"Crime, Drama, Horror",7.7,42 min,TV-14,(2019– )
