,title,genre,rating,runtime,age_rating,years
0,DCI Banks,"Crime, Drama, Mystery",7.6,45 min,TV-14,(2010–2016)
1,Last of the Summer Wine,Comedy,7.0,30 min,TV-PG,(1973–2010)
2,The Powerpuff Girls,"Animation, Action, Adventure",7.3,30 min,TV-Y7-FV,(1998–2005)
3,Square Pegs,Comedy,7.3,30 min,TV-G,(1982–1983)
4,Tacoma FD,Comedy,8.1,30 min,TV-14,(2019– )
5,Touched by an Angel,"Drama, Family, Fantasy",6.0,60 min,TV-G,(1994–2003)
6,The Avengers,"Action, Comedy, Crime",8.3,60 min,TV-14,(1961–1969)
7,Lost in Space,"Adventure, Comedy, Family",7.3,60 min,TV-G,(1965–1968)
8,The Beverly Hillbillies,"Comedy, Family",7.2,25 min,TV-G,(1962–1971)
9,Taken,"Action, Drama, Thriller",6.6,41 min,TV-14,(2017–2018)
10,For The People,Drama,7.3,43 min,TV-PG,(2018–2019)
11,Secret Diary of a Call Girl,Drama,7.4,30 min,TV-MA,(2007–2011)
12,WKRP in Cincinnati,Comedy,7.9,30 min,TV-PG,(1978–1982)
13,Da Vinci's Demons,"Adventure, Biography, Drama",8.0,59 min,TV-MA,(2013–2015)
14,Akame ga Kill!,"Animation, Action, Comedy",7.9,24 min,TV-MA,(2014)
15,Haven,"Crime, Drama, Fantasy",7.6,60 min,TV-PG,(2010–2015)
16,Samurai Jack,"Animation, Action, Adventure",8.5,25 min,TV-14,(2001–2017)
17,Chacha Vidhayak Hain Humare,Comedy,7.8,N/A,N/A,(2018–2021)
18,The Circle,"Game-Show, Reality-TV",7.4,48 min,TV-MA,(2020– )
19,Daybreak,"Action, Adventure, Comedy",6.7,60 min,TV-MA,(I) (2019)
20,Revolution,"Action, Adventure, Drama",6.7,43 min,TV-14,(2012–2014)
21,Kakegurui,"Animation, Drama, Mystery",7.2,24 min,TV-14,(2017– )
22,Kidding,"Comedy, Drama",8.0,30 min,TV-MA,(2018–2020)
23,Man Down,Comedy,7.7,30 min,TV-MA,(2013–2017)
24,Stranger,"Crime, Drama, Mystery",8.6,60 min,TV-14,(2017– )
25,Good Luck Charlie,"Comedy, Drama, Family",7.0,22 min,TV-G,(2010–2014)
26,Descendants of the Sun,"Action, Comedy, Drama",8.3,60 min,TV-14,(2016)
27,Itaewon Class,"Drama, Romance",8.2,70 min,TV-MA,(2020)
28,Infinity Train,"Animation, Action, Adventure",8.5,11 min,TV-PG,(I) (2019–2021)
29,Green Acres,"Comedy, Family",7.2,30 min,TV-G,(1965–1971)
30,Stargate Universe,"Drama, Sci-Fi",7.6,43 min,Not Rated,(2009–2011)
31,Top Chef,"Game-Show, Reality-TV",7.6,44 min,TV-14,(2006– )
32,Unauthorized Living,Drama,7.5,75 min,TV-MA,(2018–2020)
33,Alice,Comedy,6.8,30 min,TV-PG,(1976–1985)
34,Drunk History,"Comedy, History",7.8,22 min,TV-14,(2013–2019)
35,The Thundermans,"Action, Comedy, Drama",5.8,23 min,TV-G,(2013–2018)
36,The Rifleman,"Family, Western",8.3,30 min,TV-PG,(1958–1963)
37,Gentleman Jack,"Biography, Drama, History",8.2,60 min,TV-MA,(2019– )
38,Cable Girls,Drama,7.6,50 min,TV-14,(2017–2020)
39,Robot Chicken,"Animation, Adventure, Comedy",7.7,11 min,TV-MA,(2005– )
40,Please Like Me,"Comedy, Drama, Romance",8.5,29 min,TV-MA,(2013–2016)
41,The Family Man,"Action, Comedy, Drama",8.5,45 min,TV-14,(2019– )
42,Chappelle's Show,"Comedy, Music",8.8,22 min,TV-MA,(2003–2006)
43,Mozart in the Jungle,"Comedy, Drama, Music",8.2,29 min,TV-MA,(2014–2018)
44,The Windsors,Comedy,7.1,30 min,TV-MA,(2016– )
45,Royal Pains,"Comedy, Drama",7.0,42 min,TV-PG,(2009–2016)
46,Dark Angel,"Action, Drama, Mystery",7.4,60 min,TV-14,(2000–2002)
47,London Kills,"Crime, Drama, Mystery",6.7,60 min,TV-14,(2019– )
48,Dollhouse,"Drama, Mystery, Sci-Fi",7.7,44 min,TV-14,(2009–2010)
49,Smash,"Drama, Musical",7.7,44 min,TV-14,(2012–2013)
50,The L Word: Generation Q,Drama,7.4,55 min,TV-MA,(2019– )
51,Nash Bridges,"Action, Crime, Drama",6.8,60 min,TV-14,(1996–2001)
52,Shrill,Comedy,7.4,30 min,TV-MA,(2019–2021)
53,Slasher,"Crime, Drama, Horror",6.7,60 min,Not Rated,(2016– )
54,Hidden,"Crime, Drama, Mystery",7.3,60 min,Not Rated,(2018– )
55,Cold Feet,"Comedy, Drama, Romance",8.2,45 min,TV-PG,(1997– )
56,Army Wives,"Drama, Romance, War",7.3,60 min,TV-PG,(2007–2013)
57,Miss Fisher's Murder Mysteries,"Crime, Drama, Mystery",8.3,60 min,TV-PG,(2012–2015)
58,Legend of the Seeker,"Action, Adventure, Drama",7.6,44 min,TV-14,(2008–2010)
59,Teenage Bounty Hunters,"Comedy, Crime, Drama",7.7,N/A,TV-MA,(2020)
60,Good Times,Comedy,7.3,30 min,TV-PG,(1974–1979)
61,Girlfriends,Comedy,7.2,30 min,TV-PG,(2000–2008)
62,Darling in the Franxx,"Animation, Action, Drama",7.4,24 min,TV-14,(2018)
63,Teen Titans Go!,"Animation, Short, Adventure",5.3,10 min,TV-PG,(2013– )
64,Flashpoint,"Action, Adventure, Crime",7.7,41 min,TV-14,(2008–2012)
65,UnREAL,Drama,7.8,42 min,TV-MA,(2015–2018)
66,Fire Force,"Animation, Action, Drama",7.7,23 min,TV-14,(2019– )
67,Continuum,"Action, Sci-Fi, Thriller",7.6,45 min,TV-14,(I) (2012–2015)
68,Detectorists,Comedy,8.6,30 min,Not Rated,(2014–2017)
69,Queer as Folk,Drama,8.2,48 min,TV-MA,(1999–2000)
70,Toast of London,Comedy,8.2,30 min,TV-MA,(2012– )
71,Transplant,Drama,7.9,60 min,TV-14,(2020– )
72,Snatch,"Comedy, Crime",7.0,60 min,Not Rated,(2017– )
73,Flight of the Conchords,"Comedy, Music, Musical",8.5,28 min,TV-MA,(2007–2009)
74,The Frankenstein Chronicles,"Crime, Drama, Fantasy",7.3,48 min,TV-MA,(2015–2017)
75,Fullmetal Alchemist,"Animation, Action, Adventure",8.5,24 min,TV-PG,(2003–2004)
76,Peppa Pig,"Animation, Adventure, Comedy",6.3,9 min,TV-Y,(2004– )
77,Waking the Dead,"Crime, Drama, Mystery",7.8,100 min,TV-14,(2000–2011)
78,UFO,"Action, Sci-Fi",7.9,45 min,TV-PG,(1970–1971)
79,Greenleaf,Drama,7.4,60 min,TV-14,(2016–2020)
80,Mr Inbetween,"Crime, Drama",8.4,30 min,TV-MA,(2018– )
81,Wanted,"Action, Crime, Drama",7.7,60 min,TV-14,(2016–2018)
82,Haunted,"Horror, Reality-TV",4.6,24 min,TV-MA,(2018– )
83,Ice,"Crime, Drama",6.7,60 min,TV-MA,(2016– )
84,Absolutely Fabulous,Comedy,8.1,45 min,TV-14,(1992–2012)
85,Fresh Meat,"Comedy, Drama",7.9,50 min,TV-MA,(2011–2016)
86,Baby,Drama,6.8,50 min,TV-MA,(2018–2020)
87,Dublin Murders,"Crime, Drama, Mystery",7.2,60 min,TV-MA,(2019– )
88,My Wife and Kids,"Comedy, Family",6.8,30 min,TV-PG,(2001–2005)
89,Bless the Harts,"Animation, Comedy",5.3,30 min,TV-14,(2019–2021)
