modzcta,modzcta_name,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
10039,Central Harlem (North)/Washington Heights (South),40.830807,-73.936247,898,16,0.017817371937639200,0.397428457,0.293857643
10040,Washington Heights (North),40.85831,-73.93049,1231,40,0.03249390739236390,0.520490429,0.406405788
10044,Roosevelt Island,40.761931,-73.949924,403,5,0.01240694789081890,0.657139722,0.48820162
10065,Lenox Hill/Upper East Side,40.764616,-73.963135,1414,10,0.007072135785007070,0.748335335,0.610717493
10069,Lincoln Square,40.775924,-73.990256,310,2,0.0064516129032258100,0.77476223,0.578327917
10075,Lenox Hill/Upper East Side,40.773132,-73.955884,990,7,0.007070707070707070,0.835139394,0.674897746
10128,Upper East Side/Yorkville,40.781466,-73.950226,2212,17,0.0076853526220614800,0.736399148,0.593634716
10280,Battery Park City,40.709318,-74.016654,281,2,0.0071174377224199300,0.653437046,0.474114339
10282,Battery Park City,40.716409,-74.015077,210,1,0.004761904761904760,0.635323975,0.457669831
10301,Silver Lake/St. George,40.628224,-74.096232,1648,37,0.022451456310679600,0.535645243,0.42083164
10302,Elm Park,40.630598,-74.137891,793,29,0.03656998738965950,0.467857459,0.338611474
10303,Graniteville/Mariner's Harbor/Port Ivory,40.632135,-74.169166,1173,40,0.03410059676044330,0.453777327,0.320420239
10304,New Dorp/Todt Hill,40.605985,-74.0943,1859,56,0.03012372243141470,0.537795062,0.406698633
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,40.595474,-74.075437,1534,57,0.037157757496740500,0.55529665,0.422825062
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,40.571571,-74.125541,1955,71,0.03631713554987210,0.572872722,0.448168946
10307,Tottenville,40.507771,-74.24227,622,37,0.0594855305466238,0.457710381,0.363554341
10308,Great Kills,40.551574,-74.150454,1031,46,0.0446168768186227,0.492882954,0.391488688
10309,Charleston/Prince's Bay/Woodrow,40.531355,-74.220574,1348,73,0.05415430267062320,0.483733478,0.384109003
10310,Port Richmond/Randall Manor/West Brighton,40.632398,-74.11618,1024,32,0.03125,0.553993635,0.423104081
10312,Annadale/Rossville,40.545128,-74.18169,2407,80,0.033236393851267100,0.525652111,0.422128341
10314,Bloomfield/Freshkills Park,40.599333,-74.166462,3084,92,0.029831387808041500,0.525362693,0.411047475
10451,Concourse/Melrose,40.820705,-73.923865,1738,24,0.01380897583429230,0.481907798,0.365346367
10452,Concourse/Highbridge,40.837364,-73.923461,2237,61,0.027268663388466700,0.461356231,0.330585414
10453,Morris Heights/Mount Hope/University Heights,40.852304,-73.913578,2236,56,0.025044722719141300,0.417277157,0.293532295
10454,Mott Haven/Port Morris,40.805487,-73.916605,1239,33,0.026634382566586000,0.421390525,0.297181607
10455,Mott Haven,40.8147,-73.908583,1338,38,0.028400597907324400,0.421313585,0.306180923
10456,Claremont/Morrisania,40.829884,-73.908121,2632,69,0.02621580547112460,0.399104471,0.288242118
10457,Belmont/Claremont/Mount Hope/Tremont,40.847151,-73.898676,2262,60,0.026525198938992000,0.411012697,0.287418965
10458,Belmont/Fordham University/Kingsbridge,40.862531,-73.88817,2505,62,0.02475049900199600,0.410170316,0.284691885
10459,Charlotte Gardens/Hunts Point,40.82584,-73.892976,1466,44,0.030013642564802200,0.427702326,0.313659921
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,40.841753,-73.879584,1927,55,0.028541774779449900,0.403269855,0.290402354
10461,Morris Park/Pelham Bay/Westchester Square,40.847415,-73.840601,1551,29,0.018697614442295300,0.625746456,0.480939021
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,40.842874,-73.858772,2282,55,0.024101665205959700,0.53796699,0.400993405
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,40.880824,-73.906514,2116,41,0.019376181474480200,0.571857678,0.460549126
10464,City Island,40.872311,-73.804653,123,1,0.008130081300813010,0.681955653,0.561174869
10465,Country Club/Throgs Neck,40.823931,-73.822886,1226,28,0.022838499184339300,0.514638972,0.408979523
10466,Edenwald/Wakefield,40.890965,-73.845912,2449,57,0.023274806043283000,0.375067104,0.279765564
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,40.880939,-73.873956,3232,89,0.027537128712871300,0.426242628,0.313139113
10468,Fordham/Kingsbridge/University Heights,40.868161,-73.899844,2171,56,0.025794564716720400,0.425032859,0.303511436
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,40.86876,-73.846984,2121,46,0.021687883074021700,0.431511533,0.328348654
10470,Wakefield/Woodlawn,40.895986,-73.86802,575,8,0.01391304347826090,0.508631043,0.397610911
10471,Fieldston/North Riverdale/Riverdale,40.899509,-73.901518,741,23,0.0310391363022942,0.698264123,0.585480638
10472,Soundview,40.829561,-73.869393,2110,62,0.029383886255924200,0.425788776,0.30696583
10473,Castle Hill/Clason Point/Soundview,40.818135,-73.858718,2010,65,0.03233830845771140,0.448283295,0.340498969
10474,Hunts Point,40.810595,-73.884618,327,10,0.03058103975535170,0.363920225,0.246093595
10475,Co-op City/Edenwald,40.868941,-73.824854,1435,19,0.0132404181184669,0.506321316,0.432197139
11004,Bellerose/Douglaston-Little Neck,40.748068,-73.710907,428,12,0.028037383177570100,0.615269679,0.498562646
11101,Astoria (South)/Long Island City/Sunnyside,40.747077,-73.938586,1370,19,0.013868613138686100,0.804501284,0.539380801
11102,Astoria (North),40.772498,-73.925912,1080,24,0.022222222222222200,0.698434713,0.49695237
11103,Astoria (North)/Astoria (South),40.762536,-73.913541,1152,27,0.0234375,0.611866179,0.426003152
11104,Sunnyside,40.744658,-73.920205,880,18,0.020454545454545500,0.687837702,0.493021443
11105,Ditmars Steinway,40.778969,-73.906286,1127,19,0.01685891748003550,0.56026768,0.411746978
11106,Astoria (South),40.761792,-73.931771,1502,29,0.019307589880159800,0.651898382,0.456580809
11109,Long Island City,40.746211,-73.956999,263,2,0.0076045627376425900,0.778743591,0.550791249
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,40.694609,-73.989581,2630,29,0.011026615969581700,0.760709325,0.564822151
11203,East Flatbush (North)/East Flatbush (South),40.649576,-73.934363,2487,87,0.03498190591073580,0.396639511,0.289601862
11204,Bensonhurst/Mapleton,40.618774,-73.984824,1844,44,0.02386117136659440,0.488103336,0.326506704
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,40.694625,-73.966212,1358,28,0.020618556701030900,0.47363683,0.329429796
11206,Williamsburg (South),40.701957,-73.942361,2368,70,0.02956081081081080,0.469050256,0.313612177
11207,Cypress Hills/East New York,40.670819,-73.894255,3290,173,0.052583586626139800,0.376383954,0.256969868
11208,Cypress Hills/East New York,40.668385,-73.871084,3106,143,0.04603992273019960,0.395061828,0.267820471
11209,Bay Ridge/Fort Hamilton,40.621811,-74.030011,2445,69,0.02822085889570550,0.589398264,0.439987737
11210,Flatlands/Midwood,40.628165,-73.946316,1655,54,0.03262839879154080,0.363922917,0.263718986
